episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
74.69239349027995,63.0731207991547,68.35465234567329,128.0,35,7000,False,7000,35,1,72080b91cb474c788b6a0d73cb65019b,2021-06-24_21-46-33,1624592793,143.1382954120636,143.1382954120636,143392,r2i3n35,10.148.4.97,143.1382954120636,7000,1,35,bb984c82,0,599.5059060813182,33.97260484919111,1.1169202122691684,6912,7000,141794.918,33.529,858.008,420.905,84.3039024390244,28.21658536585366,0.20000000298023224,9.999999747378752e-06,164.31662,-0.00059911225,164.31715,-0.0001051735,0.0003660644,2.8313284,0.0
76.95821249035868,58.9623164448071,68.03025621776324,128.0,70,7000,False,14000,105,2,72080b91cb474c788b6a0d73cb65019b,2021-06-24_21-48-54,1624592934,141.46039938926697,284.59869480133057,143392,r2i3n35,10.148.4.97,284.59869480133057,14000,2,35,bb984c82,0,604.0115696073098,46.44410533015616,1.0680292414692447,13824,14000,141344.604,17.617,701.433,212.551,88.00495049504953,32.37376237623762,0.10000000149011612,9.999999747378752e-06,142.54947,-0.0027093126,142.55202,-0.0036281005,0.0018384511,2.828536,0.0
76.95821249035868,58.9623164448071,68.36820148322208,128.0,35,7000,False,21000,140,3,72080b91cb474c788b6a0d73cb65019b,2021-06-24_21-51-08,1624593068,133.14584851264954,417.7445433139801,143392,r2i3n35,10.148.4.97,417.7445433139801,21000,3,35,bb984c82,0,606.4509888421863,49.87164395878845,1.0397105781841705,20736,21000,138420.134,12.643,651.738,143.082,89.05608465608465,32.44708994708995,0.05000000074505806,9.999999747378752e-06,158.20332,-0.0006414572,158.20384,-0.0066303653,0.002213079,2.830235,0.0
76.64707593683538,62.82808252415898,70.22059658055366,128.0,70,7000,False,28000,210,4,72080b91cb474c788b6a0d73cb65019b,2021-06-24_21-53-30,1624593210,142.00710654258728,559.7516498565674,143392,r2i3n35,10.148.4.97,559.7516498565674,28000,4,35,bb984c82,0,607.3862093531559,50.60899198322336,1.0233704623480562,27648,28000,139157.785,9.945,625.845,108.36,87.42019704433498,32.48226600985222,0.02500000037252903,9.999999747378752e-06,142.89406,-0.00045838428,142.89449,-0.0027825313,0.0006367746,2.8037572,0.0
76.68987950867894,62.82808252415898,70.90680314173581,128.0,35,7000,False,35000,245,5,72080b91cb474c788b6a0d73cb65019b,2021-06-24_21-55-44,1624593344,134.0116903781891,693.7633402347565,143392,r2i3n35,10.148.4.97,693.7633402347565,35000,5,35,bb984c82,0,608.0270859487014,51.26477095970346,1.0142222657152213,34560,35000,137991.328,15.157,610.021,87.606,88.76073298429321,32.54607329842931,0.012500000186264515,9.999999747378752e-06,164.79747,-0.0025583892,164.79994,-0.003871155,0.0055937567,2.7471025,0.0
79.62257127139793,64.12367172909109,72.47003727528677,128.0,70,7000,False,42000,315,6,72080b91cb474c788b6a0d73cb65019b,2021-06-24_21-58-05,1624593485,141.11161255836487,834.8749527931213,143392,r2i3n35,10.148.4.97,834.8749527931213,42000,6,35,bb984c82,0,609.502066593662,51.64643224303499,1.004439679376623,41472,42000,138417.145,12.935,599.127,73.708,88.90646766169155,32.8452736318408,0.0062500000931322575,9.999999747378752e-06,153.0326,-0.0021490299,153.03468,-0.0037200882,0.004640606,2.7451441,0.0
79.62257127139793,64.12367172909109,73.1605357273981,128.0,35,7000,False,49000,350,7,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-00-23,1624593623,138.55934309959412,973.4342958927155,143392,r2i3n35,10.148.4.97,973.4342958927155,49000,7,35,bb984c82,0,611.0251490586245,51.923502815725406,0.9999640980482392,48384,49000,138345.416,11.395,596.255,63.739,88.24999999999999,32.79343434343434,0.0031250000465661287,9.999999747378752e-06,177.33249,-0.0038363459,177.33629,-0.0033030433,0.006033802,2.721953,0.0
80.9224838361484,69.05176797251096,75.04051640788893,128.0,70,7000,False,56000,420,8,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-02-47,1624593767,144.03213119506836,1117.4664270877838,143392,r2i3n35,10.148.4.97,1117.4664270877838,56000,8,35,bb984c82,0,613.8335273759535,52.295736259191116,0.9944382932781896,55296,56000,138980.943,10.21,594.144,56.326,87.7621359223301,32.946116504854366,0.0015625000232830644,9.999999747378752e-06,180.88625,-0.0013583583,180.88757,-0.00085378246,0.0028049531,2.7009897,0.0
84.19825406438403,69.05176797251096,77.18331116173357,128.0,70,7000,False,63000,490,9,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-05-16,1624593916,148.94944787025452,1266.4158749580383,143392,r2i3n35,10.148.4.97,1266.4158749580383,63000,9,35,bb984c82,0,615.8581355731827,54.62311132294744,0.9950899052514453,62208,63000,140021.49,9.329,592.683,50.559,87.18113207547171,33.1872641509434,0.0007812500116415322,9.999999747378752e-06,181.68303,-0.0036506706,181.68666,5.492789e-05,0.0031895463,2.665443,0.0
84.19825406438403,72.26866554713469,78.17331736772584,128.0,35,7000,False,70000,525,10,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-07-35,1624594055,138.11572456359863,1404.531599521637,143392,r2i3n35,10.148.4.97,1404.531599521637,70000,10,35,bb984c82,0,617.0130019840565,54.58999861695605,0.9934031868561186,69120,70000,139770.902,8.581,591.186,45.919,87.79289340101523,33.14416243654822,0.0003906250058207661,9.999999747378752e-06,195.2475,0.0009221633,195.2466,-0.00041037798,0.0027902587,2.6941864,0.0
83.36772750196867,70.94762239096227,78.83177958588237,128.0,70,7000,False,77000,595,11,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-10-01,1624594201,146.40574026107788,1550.9373397827148,143392,r2i3n35,10.148.4.97,1550.9373397827148,77000,11,35,bb984c82,0,618.3814826775425,54.61803962644301,0.9915798124959561,76032,77000,140159.336,5.452,564.863,4.233,88.09712918660288,33.37129186602871,0.00019531250291038305,9.999999747378752e-06,168.51886,-0.0033662005,168.52223,1.7253336e-05,0.0029941807,2.6449137,0.0
83.37418716289808,70.94762239096227,79.10591763554483,128.0,35,7000,False,84000,630,12,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-12-21,1624594341,139.72890377044678,1690.6662435531616,143392,r2i3n35,10.148.4.97,1690.6662435531616,84000,12,35,bb984c82,0,619.4167380874028,54.609549914105315,0.9904582638478934,82944,84000,139979.064,5.495,571.988,4.249,88.502,33.23650000000001,9.765625145519152e-05,9.999999747378752e-06,202.06163,-0.00355733,202.06514,-5.636502e-05,0.0049637845,2.6123807,0.0
85.45648858886987,74.73240972151493,80.63269703819739,128.0,70,7000,False,91000,700,13,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-14-48,1624594488,147.41766333580017,1838.0839068889618,143392,r2i3n35,10.148.4.97,1838.0839068889618,91000,13,35,bb984c82,0,621.302383827251,54.698766865336026,0.9913243161379559,89856,91000,141400.259,5.432,577.977,4.284,88.06095238095237,33.511428571428574,4.882812572759576e-05,9.999999747378752e-06,176.11803,-0.00045107995,176.11848,-1.5921063e-05,0.0043223333,2.5879986,0.0
87.19768107815646,74.73240972151493,81.7573820547929,128.0,35,7000,False,98000,735,14,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-17-13,1624594633,144.57891201972961,1982.6628189086914,143392,r2i3n35,10.148.4.97,1982.6628189086914,98000,14,35,bb984c82,0,622.1849830208387,54.69914144298885,0.9903555850681854,96768,98000,141658.211,5.532,583.762,4.258,86.70388349514563,33.41699029126213,2.441406286379788e-05,9.999999747378752e-06,218.78168,-0.0033562449,218.78503,6.1953506e-05,0.002742618,2.5657656,0.0
87.92749116690253,77.55758738293729,83.24569479680441,128.0,70,7000,False,105000,805,15,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-19-39,1624594779,145.7423369884491,2128.4051558971405,143392,r2i3n35,10.148.4.97,2128.4051558971405,105000,15,35,bb984c82,0,623.6959860237911,54.806122293190754,0.9889543893793578,103680,105000,142834.548,2.143,589.917,4.182,88.72740384615386,33.612019230769235,1.220703143189894e-05,9.999999747378752e-06,195.17776,-0.0029906828,195.18077,4.118019e-05,0.008419799,2.5327163,0.0
89.21686447454496,77.83635978969285,84.50414920837594,128.0,70,7000,False,112000,875,16,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-22-14,1624594934,155.03365898132324,2283.4388148784637,143392,r2i3n35,10.148.4.97,2283.4388148784637,112000,16,35,bb984c82,0,625.3752996098597,56.036098920819875,0.9887598531791513,110592,112000,144218.302,2.161,598.208,4.149,86.57330316742082,33.729864253393664,6.10351571594947e-06,9.999999747378752e-06,216.51472,-0.0009345854,216.51569,2.8693014e-05,0.0019421151,2.4987717,0.0
89.70821925814265,80.59021698163323,85.14403178020397,128.0,35,7000,False,119000,910,17,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-24-38,1624595078,143.58186197280884,2427.0206768512726,143392,r2i3n35,10.148.4.97,2427.0206768512726,119000,17,35,bb984c82,0,626.3485696729085,55.976229646271825,0.9876317583978317,117504,119000,144719.872,2.12,603.193,4.201,86.62097560975607,33.659512195121955,3.051757857974735e-06,9.999999747378752e-06,230.1789,-0.002165588,230.18106,5.9692948e-06,0.004661924,2.448887,0.0
90.39224259089956,81.7675648387612,86.2475385424826,128.0,70,7000,False,126000,980,18,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-27-12,1624595232,154.10836100578308,2581.1290378570557,143392,r2i3n35,10.148.4.97,2581.1290378570557,126000,18,35,bb984c82,0,627.8014640349511,56.05182703485248,0.9866151260990182,124416,126000,145722.672,2.143,608.263,4.212,86.48363636363636,34.026363636363634,1.5258789289873675e-06,9.999999747378752e-06,200.4166,-0.002922087,200.41951,-2.6625616e-05,0.00548925,2.4111845,0.0
92.04194607932968,81.7675648387612,86.99881335082513,128.0,35,7000,False,133000,1015,19,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-29-37,1624595377,144.85689878463745,2725.985936641693,143392,r2i3n35,10.148.4.97,2725.985936641693,133000,19,35,bb984c82,0,628.6561700021205,56.03948266226942,0.9860406177513192,131328,133000,145308.435,2.123,613.209,4.173,88.156038647343,33.965700483091794,7.629394644936838e-07,9.999999747378752e-06,236.63744,-0.0040529054,236.6415,5.298632e-05,0.0018457095,2.3911068,0.0
92.04194607932968,81.66664133232233,87.52747566537384,128.0,70,7000,False,140000,1085,20,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-32-11,1624595531,154.47147846221924,2880.4574151039124,143392,r2i3n35,10.148.4.97,2880.4574151039124,140000,20,35,bb984c82,0,630.7792342735794,56.18154593411125,0.9852980803916022,138240,140000,146942.258,2.113,614.996,4.188,87.53818181818183,34.26863636363637,3.814697322468419e-07,9.999999747378752e-06,193.97447,-0.0036261617,193.97809,2.413105e-05,0.0049001984,2.3722594,0.0
91.49305814889723,81.66664133232233,87.47522264882268,128.0,35,7000,False,147000,1120,21,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-34-36,1624595676,145.0292727947235,3025.486687898636,143392,r2i3n35,10.148.4.97,3025.486687898636,147000,21,35,bb984c82,0,631.5660844721467,56.18782145004882,0.9853424020663882,145152,147000,146813.464,2.114,617.288,4.174,87.96811594202899,34.197584541062795,1.9073486612342094e-07,9.999999747378752e-06,231.52383,0.00013248263,231.5237,1.6924409e-05,0.0026422222,2.2999437,0.0
90.741049739853,83.24915172068528,87.15648656444577,128.0,70,7000,False,154000,1190,22,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-37-07,1624595827,150.94844841957092,3176.435136318207,143392,r2i3n35,10.148.4.97,3176.435136318207,154000,22,35,bb984c82,0,633.1243008741258,56.27116367553052,0.9853649356351961,152064,154000,147932.883,5.907,616.017,4.149,88.8906976744186,34.239999999999995,9.536743306171047e-08,9.999999747378752e-06,197.50189,-0.0032836976,197.50519,-2.0011707e-06,0.0028397604,2.3398478,0.0
91.65940792891867,81.01159511731078,87.26980332053543,128.0,35,7000,False,161000,1225,23,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-39-36,1624595976,148.47346353530884,3324.9085998535156,143392,r2i3n35,10.148.4.97,3324.9085998535156,161000,23,35,bb984c82,0,633.8655872656251,56.261448817409125,0.9851761766429007,158976,161000,148037.28,5.875,616.958,4.134,87.13632075471698,34.24339622641509,4.7683716530855236e-08,9.999999747378752e-06,235.6671,-0.0018459172,235.66898,4.0177947e-06,0.006904255,2.2847307,0.0
91.65940792891867,81.01159511731078,87.54842536113868,128.0,70,7000,False,168000,1295,24,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-42-07,1624596127,151.3580505847931,3476.2666504383087,143392,r2i3n35,10.148.4.97,3476.2666504383087,168000,24,35,bb984c82,0,635.4358977348462,56.363745650787166,0.9845599951751817,165888,168000,148714.39,5.916,617.841,4.165,88.41944444444444,34.11435185185185,2.3841858265427618e-08,9.999999747378752e-06,224.02127,-0.0012186288,224.02246,4.332375e-06,0.0015584289,2.341041,0.0
91.92682756144326,84.77714112878823,88.03476234362137,128.0,70,7000,False,175000,1365,25,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-44-45,1624596285,157.62293219566345,3633.889582633972,143392,r2i3n35,10.148.4.97,3633.889582633972,175000,25,35,bb984c82,0,636.6270883621885,57.17978765389148,0.984905286971898,172800,175000,149905.282,5.898,617.255,4.222,86.7071111111111,34.36977777777778,1.1920929132713809e-08,9.999999747378752e-06,205.06451,-0.0012058693,205.06566,-3.3588321e-06,0.006426198,2.2970965,0.0
91.92682756144326,85.09512777482031,88.31859233754963,128.0,35,7000,False,182000,1400,26,72080b91cb474c788b6a0d73cb65019b,2021-06-24_22-47-11,1624596431,146.69850206375122,3780.5880846977234,143392,r2i3n35,10.148.4.97,3780.5880846977234,182000,26,35,bb984c82,0,637.3518734979725,57.148904659508844,0.9838544624475445,179712,182000,149069.129,5.868,614.482,4.235,87.9377990430622,34.33444976076555,5.9604645663569045e-09,9.999999747378752e-06,237.11212,-0.0020502259,237.11412,2.2296551e-06,0.0011656604,2.298011,0.0
